airline,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
1,4,4,0,5,5,1,37,49,7207
1,1,1,0,2,0,1,37,18,8344
1,1,1,0,2,3,1,37,3,14769
1,2,1,1,2,0,1,36.92,4,12321
1,2,4,1,5,3,1,36.92,7,10474
1,2,4,1,5,3,1,36.92,8,10474
1,2,4,1,5,3,1,36.92,14,9831
5,0,1,0,2,4,1,36.92,4,16599
1,5,1,0,5,3,1,36.83,2,10777
1,0,2,0,1,1,1,36.83,5,12949
1,0,2,1,1,1,1,36.83,10,13264
1,0,2,0,1,1,1,36.83,12,13264
1,0,2,1,1,1,1,36.83,17,5148
1,0,2,0,1,1,1,36.83,19,5148
1,0,2,0,1,1,1,36.83,24,5148
1,0,2,0,1,1,1,36.83,26,5148
1,0,2,0,1,1,1,36.83,31,5148
1,0,2,0,1,1,1,36.83,33,5148
1,0,2,0,1,1,1,36.83,38,5148
1,0,2,0,1,1,1,36.83,40,5148
1,0,2,0,1,1,1,36.83,47,5148
1,3,4,1,5,1,1,36.83,2,18602
1,3,4,1,5,1,1,36.83,3,15368
1,3,4,1,5,1,1,36.83,10,13446
1,3,4,1,5,1,1,36.83,15,9380
1,1,4,1,5,5,1,36.75,9,11409
1,1,4,0,5,5,1,36.75,42,5320
1,0,1,1,2,3,1,36.58,25,6935
1,0,1,1,2,3,1,36.58,32,6515
1,0,1,1,2,3,1,36.58,39,6515
1,1,4,0,5,5,1,36.58,23,7479
1,1,4,0,5,5,1,36.58,30,7479
1,1,4,0,5,5,1,36.58,37,4802
5,0,4,1,5,3,1,36.5,47,8806
5,1,1,0,2,0,1,36.5,9,12812
5,1,1,0,2,0,1,36.5,10,12276
5,2,1,1,2,1,1,36.42,1,23221
1,5,4,1,5,3,1,36.42,18,5880
1,5,4,1,5,3,1,36.42,25,5880
1,5,4,1,5,3,1,36.42,39,5460
5,4,4,0,5,2,1,36.42,2,17922
1,0,1,0,2,1,1,36.25,2,14002
1,5,4,1,3,0,1,36.17,6,14766
1,5,4,0,3,0,1,36.17,9,16446
1,0,1,0,2,1,1,36.17,44,7461
1,0,1,0,2,1,0,36.17,44,55122
1,5,1,0,5,4,1,36.08,2,13361
1,5,1,0,5,4,1,36.08,8,12007
1,5,1,0,5,4,1,36.08,9,12007
1,5,1,0,5,4,1,36.08,10,12007
1,5,1,0,5,4,1,36.08,11,12007
1,5,1,0,5,4,1,36.08,14,12007
1,5,1,1,5,4,1,36.08,15,12007
1,3,4,0,5,5,1,36.08,3,14779
1,3,4,0,5,5,1,36.08,7,10967
1,3,4,0,5,5,1,36.08,14,10967
1,3,1,0,2,4,1,36.08,44,6312
5,5,1,0,2,4,0,36.08,6,72338
5,4,4,0,5,2,1,36,1,19201
5,4,4,0,5,2,1,36,2,17996
1,4,4,0,5,3,1,36,8,10545
1,4,4,1,5,3,1,36,10,10545
1,4,4,0,5,3,1,36,16,6475
1,4,4,1,5,3,1,36,28,6475
1,4,4,1,5,3,1,36,45,6475
1,4,4,0,5,3,1,36,46,6055
1,4,4,1,5,1,1,36,14,13370
1,4,4,1,5,1,1,36,15,12117
1,3,1,0,2,4,1,35.92,46,6312
1,3,1,0,2,4,1,35.92,48,6312
1,3,1,0,2,4,1,35.92,49,6312
5,2,4,1,2,4,1,35.83,3,17462
5,2,4,1,2,1,1,35.83,1,18757
5,2,4,1,2,1,1,35.83,2,18757
5,2,4,1,2,1,1,35.83,3,18757
1,0,1,0,2,3,1,35.83,47,10090
1,0,4,1,5,3,1,35.75,6,13225
1,0,4,1,5,3,1,35.75,10,13225
1,0,4,1,5,3,1,35.75,17,8240
1,0,4,0,5,3,1,35.75,18,6920
1,0,4,1,5,3,1,35.75,20,8240
1,0,4,0,5,3,1,35.75,22,7263
1,0,4,1,5,3,1,35.75,24,7263
1,0,4,0,5,3,1,35.75,25,6920
1,0,4,1,5,3,1,35.75,27,6500
1,0,4,0,5,3,1,35.75,29,6843
1,0,4,1,5,3,1,35.75,31,6843
1,0,4,0,5,3,1,35.75,32,6500
1,0,4,1,5,3,1,35.75,34,6843
1,0,4,0,5,3,1,35.75,36,6843
1,0,4,1,5,3,1,35.75,38,8526
1,0,4,0,5,3,1,35.75,39,6500
1,0,4,1,5,3,1,35.75,41,6500
1,0,4,0,5,3,1,35.75,43,6500
1,0,4,1,5,3,1,35.75,45,6920
1,0,4,0,5,3,1,35.75,46,6500
1,0,4,1,5,3,1,35.75,48,7417
1,0,4,1,5,1,1,35.75,8,14842
1,1,1,0,2,5,1,35.67,16,11483
1,4,1,1,2,3,1,35.58,10,11175
1,4,1,0,2,3,1,35.58,15,10545
1,4,1,1,2,3,1,35.58,24,6055
1,4,1,0,2,3,1,35.58,43,6972
1,3,4,0,5,4,1,35.58,14,12753
1,3,4,0,5,4,1,35.58,25,8258
1,3,4,0,5,4,1,35.58,29,8679
1,3,4,0,5,4,1,35.58,37,9204
1,3,4,0,5,4,1,35.58,42,8258
1,3,4,0,5,4,1,35.58,43,8258
1,3,4,0,5,4,1,35.58,46,8258
1,3,4,0,5,4,1,35.58,49,9204
1,1,1,1,2,0,1,35.58,3,14126
1,1,1,0,2,0,1,35.58,6,14126
1,1,1,0,2,0,1,35.58,7,14126
1,1,1,0,2,0,1,35.58,9,14861
